prod_feat.0,prod_feat.1,prod_feat.2,prod_feat.3,prod_feat.4,prod_feat.5,prod_feat.6
budgetary management,capability,Monitored,Business-focused,Stand-alone,Multi-channelled,bandwidth-monitored
workforce,upward-trending,system-worthy,Seamless,Persevering,framework,Inverse
monitoring,process improvement,motivating,Right-sized,product,Team-oriented,extranet
dedicated,directional,Networked,pricing structure,Cross-group,Managed,Centralized
maximized,core,alliance,Reactive,forecast,Front-line,Managed
extranet,budgetary management,Operative,even-keeled,Function-based,workforce,exuding
challenge,demand-driven,knowledge user,Profit-focused,extranet,Reverse-engineered,methodical
homogeneous,Re-engineered,client-server,multi-state,process improvement,adapter,protocol
client-server,24/7,composite,conglomeration,context-sensitive,Fundamental,Ergonomic
human-resource,homogeneous,Enterprise-wide,Phased,standardization,Horizontal,Synergistic
alliance,open architecture,customer loyalty,Object-based,moratorium,De-engineered,initiative
access,function,Stand-alone,Integrated,firmware,asynchronous,capability
encryption,database,Configurable,architecture,neutral,Adaptive,archive
Horizontal,monitoring,directional,Front-line,functionalities,optimal,Customizable
open system,intermediate,static,artificial intelligence,zero defect,intranet,radical
Distributed,methodology,Realigned,local,core,Universal,website
web-enabled,initiative,Ameliorated,Seamless,complexity,Intuitive,interactive
explicit,systematic,value-added,circuit,core,portal,client-server
architecture,info-mediaries,background,Advanced,leading edge,analyzer,parallelism
5th generation,dedicated,client-server,zero tolerance,Self-enabling,Enhanced,function
client-server,Cross-group,artificial intelligence,neural-net,Open-source,Virtual,Upgradable
Profound,support,approach,optimizing,background,fault-tolerant,local area network
Progressive,attitude-oriented,throughput,throughput,Right-sized,Adaptive,challenge
Proactive,ability,intranet,Polarised,Synergized,Progressive,Optimized
emulation,functionalities,Graphic Interface,Versatile,secondary,extranet,eco-centric
Networked,initiative,Versatile,Cross-platform,Fundamental,attitude,Polarised
approach,Re-contextualized,regional,Innovative,Realigned,Realigned,background
model,open system,zero administration,Focused,intranet,Fundamental,access
Polarised,projection,dedicated,neural-net,project,database,model
tangible,leading edge,solution,Object-based,national,conglomeration,model
local,intangible,migration,local,Visionary,pricing structure,Customizable
asynchronous,clear-thinking,logistical,Business-focused,extranet,monitoring,architecture
Organized,national,Virtual,optimizing,client-driven,info-mediaries,clear-thinking
fault-tolerant,strategy,model,global,demand-driven,fault-tolerant,Business-focused
multimedia,methodology,mobile,Enhanced,4th generation,hierarchy,open system
5th generation,paradigm,frame,hub,Vision-oriented,Public-key,Organic
Fundamental,Decentralized,Seamless,info-mediaries,Exclusive,24 hour,website
customer loyalty,contextually-based,Team-oriented,intermediate,pricing structure,empowering,multi-state
structure,structure,dedicated,capability,flexibility,Upgradable,User-centric
Open-source,Monitored,solution,adapter,bandwidth-monitored,Extended,Triple-buffered
asymmetric,maximized,application,foreground,Horizontal,discrete,analyzer
multi-state,maximized,Persistent,directional,emulation,website,support
maximized,Total,Stand-alone,synergy,neutral,Networked,fresh-thinking
Re-contextualized,demand-driven,tertiary,Distributed,Compatible,Mandatory,Fully-configurable
tertiary,Exclusive,empowering,array,protocol,Operative,client-driven
alliance,asynchronous,bandwidth-monitored,Right-sized,logistical,adapter,system-worthy
Synergized,Ergonomic,zero administration,knowledge user,coherent,superstructure,Expanded
neutral,Balanced,service-desk,Optimized,implementation,pricing structure,content-based
User-centric,Universal,encryption,website,installation,Balanced,utilisation
reciprocal,benchmark,core,moratorium,Face to face,directional,parallelism
zero tolerance,service-desk,maximized,moratorium,maximized,Sharable,well-modulated
attitude-oriented,collaboration,Optimized,executive,5th generation,moderator,Integrated
radical,even-keeled,installation,Customer-focused,intranet,hybrid,instruction set
Re-engineered,ability,mission-critical,array,toolset,portal,internet solution
Configurable,service-desk,systematic,website,Triple-buffered,emulation,global
stable,local area network,secured line,intangible,directional,Networked,directional
secondary,access,capacity,Focused,emulation,leading edge,exuding
conglomeration,definition,contextually-based,challenge,actuating,Public-key,service-desk
local area network,alliance,User-friendly,function,matrices,Fully-configurable,info-mediaries
system-worthy,Virtual,context-sensitive,Cloned,groupware,Team-oriented,tertiary
Visionary,database,secured line,extranet,6th generation,focus group,attitude
Mandatory,eco-centric,scalable,Synchronised,emulation,Re-engineered,real-time
local,Public-key,even-keeled,asymmetric,systemic,Phased,Digitized
structure,asynchronous,optimal,capacity,client-server,responsive,archive
Mandatory,Team-oriented,disintermediate,zero defect,Programmable,attitude,Multi-lateral
Quality-focused,fresh-thinking,frame,functionalities,value-added,benchmark,interface
standardization,Compatible,task-force,Virtual,User-centric,framework,responsive
Optional,Networked,Up-sized,Assimilated,Cross-group,application,Distributed
hub,Balanced,Triple-buffered,demand-driven,paradigm,Digitized,infrastructure
Business-focused,optimizing,executive,Integrated,application,moderator,zero administration
Centralized,functionalities,project,Multi-channelled,customer loyalty,knowledge base,5th generation
Decentralized,Persistent,Reverse-engineered,cohesive,grid-enabled,Profit-focused,functionalities
success,upward-trending,intangible,motivating,extranet,Expanded,Devolved
Robust,Grass-roots,contextually-based,User-friendly,tangible,optimal,Visionary
Multi-lateral,service-desk,Organic,Cross-platform,database,Front-line,local area network
composite,Business-focused,Persevering,Implemented,Implemented,impactful,client-server
open system,context-sensitive,conglomeration,analyzer,secured line,superstructure,protocol
mission-critical,initiative,actuating,needs-based,installation,Customer-focused,Upgradable
Progressive,explicit,Ergonomic,Networked,Sharable,Fully-configurable,Ergonomic
Sharable,complexity,Fully-configurable,holistic,solution-oriented,capacity,foreground
emulation,frame,systematic,flexibility,Monitored,methodical,Upgradable
solution,local,knowledge user,well-modulated,Persevering,neutral,Re-contextualized
Exclusive,intermediate,mobile,high-level,bifurcated,local,Programmable
throughput,product,Stand-alone,interactive,Customer-focused,Triple-buffered,collaboration
Front-line,Fully-configurable,object-oriented,intermediate,Compatible,Upgradable,collaboration
dynamic,hardware,Persistent,Enterprise-wide,capacity,cohesive,scalable
system engine,Function-based,Programmable,collaboration,collaboration,task-force,secondary
conglomeration,Fundamental,Managed,Business-focused,encoding,Enhanced,info-mediaries
capacity,Cloned,needs-based,circuit,Triple-buffered,Self-enabling,concept
demand-driven,asymmetric,Operative,solution-oriented,multi-tasking,radical,impactful
parallelism,Robust,archive,array,hierarchy,value-added,systematic
hybrid,Expanded,Enterprise-wide,Reactive,maximized,Multi-layered,protocol
Polarised,Phased,clear-thinking,Object-based,disintermediate,reciprocal,Reverse-engineered
web-enabled,installation,Graphical User Interface,time-frame,reciprocal,Re-engineered,conglomeration
grid-enabled,utilisation,time-frame,bi-directional,mobile,neural-net,Streamlined
encoding,Re-contextualized,internet solution,didactic,collaboration,open architecture,Open-source
Phased,process improvement,Networked,uniform,Sharable,projection,context-sensitive
responsive,throughput,responsive,Self-enabling,hardware,Pre-emptive,projection
didactic,incremental,open architecture,systemic,solution,orchestration,zero administration
Enterprise-wide,Face to face,website,array,system engine,secondary,full-range
groupware,product,static,service-desk,dynamic,Visionary,Integrated
Cloned,5th generation,intangible,Devolved,Digitized,multimedia,service-desk
intranet,local area network,reciprocal,zero administration,scalable,intermediate,secondary
Open-source,emulation,Reverse-engineered,Synergized,real-time,application,maximized
user-facing,real-time,real-time,grid-enabled,Monitored,content-based,Cross-group
extranet,Graphic Interface,executive,Exclusive,internet solution,real-time,collaboration
Robust,archive,needs-based,customer loyalty,ability,Devolved,Profound
human-resource,6th generation,system-worthy,knowledge user,Organized,systemic,orchestration
Business-focused,Focused,Pre-emptive,radical,Public-key,tertiary,info-mediaries
service-desk,full-range,algorithm,contingency,context-sensitive,Distributed,Optional
contextually-based,national,4th generation,Extended,executive,asymmetric,methodology
Reverse-engineered,projection,infrastructure,standardization,flexibility,Expanded,leading edge
Cross-platform,Front-line,implementation,encompassing,static,Sharable,Diverse
Open-source,fault-tolerant,conglomeration,capacity,bi-directional,Multi-tiered,exuding
scalable,web-enabled,clear-thinking,paradigm,productivity,maximized,Customer-focused
multi-tasking,access,Multi-tiered,help-desk,conglomeration,database,Distributed
interactive,Intuitive,regional,Profound,global,high-level,transitional
Distributed,client-driven,Exclusive,Business-focused,Enterprise-wide,methodical,adapter
dedicated,Sharable,fresh-thinking,stable,Grass-roots,Customer-focused,Mandatory
Switchable,solution-oriented,Networked,Cross-group,collaboration,Proactive,framework
Enhanced,systemic,focus group,Multi-channelled,neutral,architecture,bottom-line
Streamlined,open architecture,Future-proofed,De-engineered,cohesive,asynchronous,5th generation
Graphical User Interface,Future-proofed,multimedia,product,migration,Assimilated,service-desk
4th generation,Synergistic,Progressive,Function-based,intermediate,concept,even-keeled
client-server,Open-source,content-based,Persistent,analyzing,motivating,4th generation
hub,Front-line,national,toolset,asynchronous,user-facing,Profit-focused
Synchronised,Open-architected,Grass-roots,Advanced,non-volatile,Quality-focused,Organized
composite,non-volatile,Cloned,challenge,Operative,Multi-tiered,3rd generation
Operative,hub,Reverse-engineered,Versatile,policy,upward-trending,value-added
Advanced,Self-enabling,Synchronised,projection,Face to face,Enhanced,6th generation
time-frame,toolset,bandwidth-monitored,internet solution,attitude-oriented,capability,transitional
Enterprise-wide,high-level,Face to face,Down-sized,alliance,contingency,matrices
hierarchy,Cross-group,Cloned,Multi-layered,3rd generation,heuristic,service-desk
encompassing,matrices,Operative,Reduced,Extended,Ergonomic,3rd generation
grid-enabled,Profit-focused,encoding,Integrated,static,interactive,policy
Profit-focused,application,forecast,regional,protocol,Operative,User-friendly
function,attitude,optimal,complexity,Polarised,24 hour,optimizing
strategy,analyzing,Programmable,benchmark,Customer-focused,artificial intelligence,methodical
Customer-focused,Multi-channelled,Cloned,capability,secured line,Visionary,database
functionalities,explicit,human-resource,systematic,definition,Assimilated,interactive
function,local,collaboration,Vision-oriented,Customizable,contextually-based,Up-sized
full-range,contextually-based,Quality-focused,Reactive,Balanced,info-mediaries,Synergized
Devolved,explicit,Right-sized,Mandatory,Reverse-engineered,monitoring,Cross-platform
projection,functionalities,knowledge base,Switchable,Versatile,zero tolerance,grid-enabled
service-desk,dedicated,middleware,complexity,attitude,standardization,contingency
benchmark,data-warehouse,Persistent,regional,scalable,Inverse,even-keeled
eco-centric,Phased,even-keeled,Reverse-engineered,heuristic,mission-critical,systematic
Assimilated,standardization,directional,maximized,upward-trending,Advanced,even-keeled
Horizontal,middleware,Virtual,moderator,bottom-line,portal,upward-trending
Proactive,orchestration,Universal,intranet,discrete,orchestration,Profit-focused
paradigm,Inverse,Reactive,knowledge user,core,well-modulated,Advanced
bi-directional,Configurable,Monitored,Intuitive,toolset,support,service-desk
actuating,intangible,upward-trending,focus group,Fully-configurable,success,client-server
composite,scalable,composite,hardware,encompassing,Balanced,system-worthy
3rd generation,flexibility,capability,secured line,customer loyalty,paradigm,client-driven
Secured,Implemented,core,optimizing,model,heuristic,help-desk
Organized,regional,human-resource,model,migration,conglomeration,budgetary management
global,uniform,Profound,zero tolerance,middleware,artificial intelligence,solution
human-resource,directional,fresh-thinking,multimedia,User-friendly,maximized,secured line
Business-focused,Advanced,capacity,client-server,interface,installation,customer loyalty
Innovative,zero administration,Realigned,local,Devolved,Re-contextualized,Cross-group
Programmable,interactive,productivity,directional,Upgradable,Stand-alone,Team-oriented
Focused,well-modulated,human-resource,executive,neutral,Visionary,mission-critical
knowledge user,Decentralized,interactive,toolset,Grass-roots,even-keeled,empowering
tertiary,Persistent,Realigned,Open-source,high-level,multi-state,concept
Multi-channelled,global,Triple-buffered,Pre-emptive,Universal,client-server,superstructure
maximized,Quality-focused,adapter,alliance,optimal,strategy,bandwidth-monitored
Reduced,matrix,Ameliorated,Devolved,optimal,tertiary,Mandatory
Diverse,Networked,well-modulated,multi-state,dynamic,algorithm,Assimilated
explicit,pricing structure,foreground,interactive,mobile,context-sensitive,Horizontal
implementation,bottom-line,budgetary management,Inverse,cohesive,Versatile,process improvement
attitude-oriented,Reduced,process improvement,internet solution,Multi-channelled,Assimilated,application
discrete,Reduced,Diverse,foreground,object-oriented,ability,standardization
actuating,hierarchy,Fully-configurable,full-range,incremental,encryption,homogeneous
background,Configurable,user-facing,throughput,open system,Face to face,leverage
parallelism,attitude,systematic,zero tolerance,even-keeled,mission-critical,intangible
regional,optimizing,matrix,actuating,regional,intangible,3rd generation
parallelism,24 hour,project,dynamic,Expanded,fresh-thinking,matrices
paradigm,Universal,encompassing,Sharable,infrastructure,Universal,Triple-buffered
6th generation,application,coherent,Enterprise-wide,Organic,Implemented,holistic
archive,infrastructure,pricing structure,modular,logistical,time-frame,scalable
definition,support,Re-contextualized,Sharable,Ergonomic,framework,structure
Cross-platform,Front-line,Reverse-engineered,knowledge user,Open-architected,Centralized,Ergonomic
Face to face,capacity,Future-proofed,Streamlined,emulation,strategy,Configurable
static,Polarised,contingency,synergy,regional,Implemented,composite
help-desk,conglomeration,orchestration,leading edge,De-engineered,time-frame,moderator
real-time,Pre-emptive,eco-centric,Virtual,intranet,matrices,conglomeration
methodology,emulation,Multi-tiered,neutral,transitional,Multi-tiered,Versatile
data-warehouse,Reactive,object-oriented,internet solution,superstructure,next generation,attitude
knowledge base,Cross-platform,hub,Open-source,user-facing,maximized,Sharable
open system,6th generation,orchestration,Extended,Re-contextualized,Implemented,Balanced
Organized,executive,model,forecast,modular,interactive,moratorium
motivating,Automated,Face to face,circuit,Open-architected,logistical,encompassing
system engine,maximized,Proactive,bottom-line,Implemented,Self-enabling,hybrid
Up-sized,Streamlined,system-worthy,optimizing,instruction set,Graphic Interface,open system
workforce,empowering,info-mediaries,User-centric,dedicated,Proactive,User-centric
incremental,hybrid,utilisation,disintermediate,contingency,policy,model
capability,leading edge,Exclusive,Monitored,intermediate,encompassing,static
Enterprise-wide,firmware,internet solution,Synchronised,product,Organized,Multi-tiered
explicit,global,model,Intuitive,fault-tolerant,system-worthy,full-range
toolset,pricing structure,intermediate,encompassing,Cross-group,matrices,homogeneous
Cross-platform,Front-line,maximized,encoding,methodical,Streamlined,Ergonomic
real-time,real-time,infrastructure,intranet,responsive,zero tolerance,heuristic
Cross-platform,bottom-line,client-driven,interactive,archive,policy,implementation
tertiary,firmware,Enterprise-wide,Programmable,context-sensitive,array,user-facing
radical,neural-net,Quality-focused,framework,moratorium,Optional,transitional
attitude-oriented,Visionary,Ameliorated,approach,4th generation,support,static
intermediate,even-keeled,actuating,value-added,Team-oriented,fresh-thinking,6th generation
Team-oriented,portal,Vision-oriented,conglomeration,Right-sized,approach,Future-proofed
hub,frame,impactful,alliance,attitude-oriented,forecast,bi-directional
Proactive,fault-tolerant,Re-contextualized,real-time,model,firmware,eco-centric
Reverse-engineered,productivity,migration,Public-key,Graphical User Interface,complexity,needs-based
solution-oriented,Digitized,Sharable,knowledge base,groupware,functionalities,framework
architecture,content-based,Versatile,zero tolerance,Customizable,uniform,knowledge user
uniform,orchestration,workforce,asymmetric,Up-sized,Optional,standardization
motivating,Optional,Innovative,zero administration,Cloned,logistical,Persistent
definition,policy,Down-sized,explicit,Cross-platform,Digitized,architecture
global,multi-tasking,bottom-line,hardware,core,workforce,Organic
Profound,Switchable,Synergistic,Balanced,middleware,Synergistic,encryption
actuating,multi-state,well-modulated,success,Monitored,Reverse-engineered,tertiary
Synchronised,Synergized,interface,access,Upgradable,hybrid,responsive
concept,Re-engineered,knowledge base,high-level,matrices,composite,background
parallelism,discrete,Future-proofed,leverage,4th generation,support,open system
frame,uniform,Ameliorated,interactive,model,Diverse,Pre-emptive
Focused,forecast,standardization,matrices,Fundamental,directional,moratorium
concept,Automated,Digitized,local area network,array,moratorium,mission-critical
next generation,Enhanced,Mandatory,archive,Monitored,Ameliorated,software
Multi-lateral,grid-enabled,approach,alliance,User-friendly,matrix,bifurcated
policy,moderator,complexity,Switchable,eco-centric,Robust,Business-focused
archive,multi-state,contextually-based,encryption,forecast,full-range,Open-source
secondary,encoding,leverage,mission-critical,stable,system engine,algorithm
initiative,motivating,attitude-oriented,local,multimedia,Function-based,zero administration
